"RK",TIERS,"PLAYER NAME",TEAM,"BYE WEEK","STRENGTH OF SCHEDULE ","ECR VS. ADP","AVG. POINTS ","% GAMES "
"24",4,"Terry McLaurin",WAS,"14","3.6","-4","-1.2","43% (7/16)"
"25",4,"Christian Watson",GB,"6","5.2","0","+2.6","46% (6/13)"
"26",5,"Mike Williams",LAC,"5","4.8","+2","-1.0","50% (6/12)"
"27",5,"Brandon Aiyuk",SF,"9","6.4","+2","+1.3","50% (8/16)"
"28",5,"Chris Godwin",TB,"5","6.8","-1","-0.4","35% (5/14)"
"29",5,"Tyler Lockett",SEA,"5","5.0","-3","+0.1","53% (8/15)"
"30",5,"Diontae Johnson",PIT,"6","4.8","+5","-2.3","18% (3/16)"
"31",5,"Christian Kirk",JAC,"9","8.8","-1","-0.8","37% (6/16)"
"32",5,"Mike Evans",TB,"5","7.8","0","-0.4","40% (6/15)"
"33",5,"Marquise Brown",ARI,"14","6.0","+1","-0.5","27% (3/11)"
"34",5,"Michael Pittman Jr.",IND,"11","6.4","-3","-1.6","33% (5/15)"
"35",5,"Jahan Dotson",WAS,"14","4.2","+3","+2.8","54% (6/11)"
"36",5,"George Pickens",PIT,"6","6.2","-3","-0.3","56% (9/16)"
"37",6,"Gabe Davis",BUF,"13","1.0","+2","-0.9","33% (5/15)"
"38",6,"Jordan Addison",MIN,"13","4.2","-1","-","-"
"39",6,"Jaxon Smith-Njigba",SEA,"5","6.2","-3","-","-"
"40",6,"Brandin Cooks",DAL,"7","2.2","0","-2.9","16% (2/12)"
"41",6,"Courtland Sutton",DEN,"9","3.6","+2","-3.1","28% (4/14)"
"42",6,"Elijah Moore",CLE,"5","5.4","+4","-2.2","13% (2/15)"
"43",6,"Treylon Burks",TEN,"7","5.6","-2","-0.4","40% (4/10)"
"44",6,"Skyy Moore",KC,"10","1.4","+6","-1.4","31% (5/16)"
"45",6,"Zay Flowers",BAL,"13","4.8","+2","-","-"
"46",6,"JuJu Smith-Schuster",NE,"11","2.6","+2","-2.5","31% (5/16)"
"47",6,"Rashod Bateman",BAL,"13","6.4","+5","-1.9","33% (2/6)"
"48",6,"Michael Thomas",NO,"11","8.8","-6","+4.2","66% (2/3)"
"49",6,"Quentin Johnston",LAC,"5","4.4","0","-","-"
"50",6,"Jakobi Meyers",LV,"13","2.0","+7","+0.7","38% (5/13)"
"51",7,"Nico Collins",HOU,"7","6.8","+8","+0.3","50% (5/10)"
"52",7,"Kadarius Toney",KC,"10","1.4","-8","-2.2","33% (3/9)"
"53",7,"Allen Lazard",NYJ,"7","4.6","-2","-0.9","42% (6/14)"
"54",7,"Romeo Doubs",GB,"6","5.6","+1","-0.8","50% (6/12)"
"55",7,"Odell Beckham Jr.",BAL,"13","4.8","-10","-","-"
"56",7,"Darnell Mooney",CHI,"13","5.4","+4","-1.9","41% (5/12)"
"57",7,"Zay Jones",JAC,"9","8.2","+6","+2.3","46% (7/15)"
"58",7,"Jameson Williams",DET,"9","5.0","-5","-1.0","40% (2/5)"
"59",7,"Tyler Boyd",CIN,"7","6.2","-1","+0.4","50% (8/16)"
"60",7,"DJ Chark Jr.",CAR,"7","6.0","+4","+0.2","50% (5/10)"
"61",7,"Rondale Moore",ARI,"14","4.2","+4","0.0","50% (4/8)"
"62",7,"Adam Thielen",CAR,"7","6.6","-8","-0.9","37% (6/16)"
"63",7,"Michael Gallup",DAL,"7","2.0","-2","-1.1","30% (4/13)"
"64",7,"K.J. Osborn",MIN,"13","3.4","+4","+1.6","43% (7/16)"
"65",8,"Jonathan Mingo",CAR,"7","7.0","+2","-","-"
"66",8,"Donovan Peoples-Jones",CLE,"5","5.4","0","+1.0","75% (12/16)"
"67",8,"Alec Pierce",IND,"11","7.2","+3","-0.4","40% (6/15)"
"68",8,"Van Jefferson",LAR,"10","4.4","+3","-0.7","40% (4/10)"
"69",8,"Rashid Shaheed",NO,"11","9.6","+10","+3.6","72% (8/11)"
"70",8,"Curtis Samuel",WAS,"14","5.6","+11","0.0","50% (8/16)"
"71",8,"Isaiah Hodgins",NYG,"13","4.4","+7","+4.0","55% (5/9)"
"72",8,"Marquez Valdes-Scantling",KC,"10","2.0","+1","-2.1","35% (6/17)"
"73",8,"Marvin Mims Jr.",DEN,"9","3.0","+2","-","-"
"74",8,"Rashee Rice",KC,"10","1.2","-12","-","-"
"75",8,"Darius Slayton",NYG,"13","4.4","+10","-0.1","46% (7/15)"
"76",8,"DeVante Parker",NE,"11","1.8","+11","-1.4","41% (5/12)"
"77",8,"Jayden Reed",GB,"6","5.4","0","-","-"
"78",8,"Hunter Renfrow",LV,"13","1.4","+2","-2.7","10% (1/10)"
"79",8,"Parris Campbell",NYG,"13","5.0","-5","+0.2","43% (7/16)"
"80",8,"Joshua Palmer",LAC,"5","4.8","+16","-0.5","31% (5/16)"
"81",8,"Jalin Hyatt",NYG,"13","4.4","-25","-","-"
"82",8,"Chase Claypool",CHI,"13","4.0","+1","-1.6","28% (4/14)"
"83",8,"John Metchie III",HOU,"7","7.2","-7","-","-"
"84",8,"Robert Woods",HOU,"7","7.4","+4","-2.4","37% (6/16)"
"85",8,"Mecole Hardman Jr.",NYJ,"7","3.8","+1","+2.5","55% (5/9)"
"86",8,"Wan'Dale Robinson",NYG,"13","5.0","-4","+0.2","50% (3/6)"
"87",8,"Tank Dell",HOU,"7","7.2","-18","-","-"
